N;Bubble Sort (Tempo);Bubble Sort (Operacoes);Bubble Sort Otimizado (Tempo);Bubble Sort Otimizado (Operacoes);Insertion Sort (Tempo);Insertion Sort (Operacoes);Merge Sort (Tempo);Merge Sort (Operacoes);Quick Sort (Tempo);Quick Sort (Operacoes)
1000;6;757163;5;756497;3;258662;1;28088;0;15713
2000;3;2987776;2;2986450;1;990775;0;62093;0;38563
3000;7;6742750;7;6741475;1;2247249;0;99056;0;66122
4000;15;11940645;15;11933975;2;3946644;0;136163;0;85313
5000;33;18790907;30;18789254;5;6298406;0;175982;0;114575
6000;46;27076737;44;27075656;6;9085736;0;216268;0;124920
7000;80;36742940;57;36740014;7;12253439;0;256199;0;146724
8000;78;48009377;76;47996011;9;16021376;0;296152;0;180028
9000;108;60793511;99;60784865;12;20307010;0;339077;0;218173
10000;141;75056096;130;75027655;16;25071095;0;382244;0;231085
11000;204;90792108;154;90772605;22;30308607;0;425473;0;268638
12000;194;108242522;192;108239672;22;36260521;0;468447;0;286902
13000;238;126906824;228;126894578;26;42426323;1;511421;0;302147
14000;291;146653089;275;146643078;28;48674088;1;554598;0;331337
15000;327;169151153;308;169142897;35;56673652;1;597565;1;385145
16000;361;191729737;361;191714686;26;63753736;1;640523;1;395410
17000;404;216942602;416;216940949;29;72468101;1;685703;1;422576
18000;458;243947937;494;243947747;33;81974936;1;732054;1;425917
19000;505;270267559;492;270226518;33;89796058;1;778248;1;451187
20000;567;299546648;579;299529070;40;99576647;1;824495;1;516261
21000;622;330756762;656;330734184;45;110288261;1;870794;1;535393
22000;678;363122629;752;363107923;49;121155628;2;916670;1;592603
23000;771;397247478;838;397239222;54;132781977;2;962873;1;605359
24000;823;429984764;864;429911993;58;142020763;2;1008767;1;641855
25000;895;468474506;972;468459106;65;156012005;2;1054793;1;655437
26000;967;506999883;1027;506968257;69;169038882;2;1101060;1;653294
27000;1070;547237502;1154;547174667;75;182778001;2;1147270;1;685300
28000;1153;588980339;1196;588882436;72;197022338;2;1193311;2;845505
29000;1206;630636129;1295;630584769;80;210179628;2;1239016;2;791469
30000;1369;676449058;1338;676366843;93;226494057;2;1285411;2;772664
31000;1433;722431364;1552;722389169;99;241977863;2;1331286;2;812612
32000;1578;767871988;1518;767848117;97;255919987;2;1377229;2;873780
33000;1645;815310730;1777;815186977;110;270860229;3;1423699;2;858422
34000;1644;866263722;1935;866226866;111;288314721;2;1473243;2;884304
35000;1764;918110182;1967;918093162;126;305662681;3;1522586;2;966043
36000;2006;971811075;2228;971580894;128;323865074;3;1571731;4;913741
37000;2249;1027576452;2458;1027547532;207;343131951;3;1621314;3;1021695
38000;2371;1080978372;2187;1080962262;156;359035371;3;1670670;2;1050956
39000;2269;1138340438;2453;1138311758;167;377898937;3;1719570;3;1058562
40000;2511;1200053393;2650;1199981762;161;400113392;3;1768494;2;1172866
41000;2437;1258249466;2638;1258192175;188;417810965;4;1818030;3;1141921
42000;2664;1321999912;2800;1321984861;183;440062911;4;1867385;3;1154410
43000;2749;1388607437;2981;1388602972;193;464171936;4;1916537;3;1162316
44000;2861;1453790406;3069;1453743435;182;485856405;3;1965377;2;1181509
45000;3153;1518970600;3352;1518891597;232;506538099;4;2014525;3;1392638
46000;3111;1584750504;3377;1584708888;232;526819503;4;2063711;3;1256322
47000;3357;1655104326;3670;1655067741;227;550674825;4;2112499;3;1373436
48000;3495;1729898175;3770;1729833555;261;577970174;4;2161151;3;1307429
49000;3585;1801343724;3892;1801336098;246;600917223;4;2209770;3;1416131
50000;1;741284;1;741248;273;625886220;6;2259395;3;1323499
51000;0;749913;0;749613;274;647515547;4;2309151;3;1461181
52000;0;748037;0;747737;281;675644938;5;2358248;3;1497139
53000;0;745483;0;744355;294;704095436;5;2407371;3;1505733
54000;1;747387;0;746259;282;730296953;4;2456237;3;1570686
55000;1;756531;1;756378;314;754545166;5;2505558;4;1644998
56000;1;748347;1;747606;343;780829403;5;2554882;4;1539395
57000;0;759306;0;759135;338;812246093;5;2603601;4;1589435
58000;0;747162;0;747026;328;840287362;5;2653224;3;1664780
59000;0;755564;0;755519;336;866331957;5;2701756;4;1804613
60000;1;740387;1;739259;372;897299739;6;2750626;4;1737885
61000;0;756984;0;755709;381;928733642;5;2799950;4;1768496
62000;1;737863;1;735235;364;962427066;5;2848539;4;1915968
63000;0;746560;0;745999;427;997315594;6;2898200;4;1712353
64000;1;747818;1;747440;438;1023528700;6;2946630;4;1917316
65000;0;755853;1;755577;429;1058328773;6;2995561;4;1872952
66000;0;751766;0;751100;417;1088350965;5;3045675;4;1877689
67000;0;753145;0;752935;483;1123923665;6;3098520;5;1857601
68000;1;739438;1;737547;487;1155103047;6;3150562;5;1927581
69000;1;755956;1;755865;492;1189501360;6;3203179;5;1991955
70000;0;756954;0;756876;470;1225254770;6;3255562;4;2003500
71000;1;751410;1;751365;531;1261978293;7;3307689;5;2180850
72000;0;746003;0;743987;532;1290790900;7;3360280;5;2176393
73000;1;750174;1;749874;580;1336744483;7;3412507;5;2181105
74000;0;746743;1;746443;534;1368385679;7;3465570;5;2216687
75000;0;747124;0;747046;596;1407094238;7;3516918;5;2273914
76000;0;753980;0;753034;625;1446200054;7;3569208;6;2267675
77000;0;751230;0;749904;571;1480815791;7;3621399;5;2203346
78000;1;747870;1;747717;628;1525475550;8;3673308;5;2190180
79000;1;746348;1;744863;651;1562323689;8;3725885;6;2348413
80000;1;751270;1;750675;679;1596903524;7;3778261;5;2326767
81000;1;756799;1;756546;682;1642554738;8;3829712;6;2596584
82000;0;743455;1;743319;637;1681484696;8;3881986;7;2405447
83000;0;746915;0;746744;738;1724393255;8;3933633;6;2421609
84000;0;753304;1;751534;681;1767418001;8;3986477;6;2698835
85000;1;746527;1;745932;686;1805348772;7;4038340;6;2622072
86000;0;753610;1;752830;777;1848597310;7;4090292;5;2576424
87000;0;749368;1;748093;815;1894521373;9;4142637;6;2452338
88000;1;737689;1;731803;801;1941063126;9;4194893;7;2552260
89000;1;753677;1;753487;853;1988485132;9;4247162;6;2606704
90000;1;741614;1;741289;818;2022817381;8;4299142;6;2638722
91000;1;741550;1;740847;864;2064169572;9;4350530;6;2737462
92000;1;752830;0;751290;898;2112380761;9;4403476;7;2645447
93000;1;756043;1;755965;850;2160679961;8;4455168;6;2900416
94000;0;748831;1;747505;942;2216124536;9;4507434;7;2833146
95000;1;739414;1;738553;862;2253858680;9;4558549;6;2995833
96000;1;748079;1;747218;874;2313906403;8;4610869;7;2886469
97000;1;745458;1;744597;997;2344022897;9;4662723;7;2899607
98000;1;753804;1;752034;1004;2408302646;10;4714452;7;2865192
99000;1;749172;1;748352;997;2453369307;9;4766293;6;2965873
100000;1;747521;1;747056;948;2504574455;9;4818905;7;3115547
101000;1;747027;1;746774;1039;2554535951;9;4872182;7;2959678
102000;1;751002;1;749921;1106;2608494473;9;4923718;7;3202582
103000;1;737729;1;737609;1093;2656068678;10;4976587;8;2996415
104000;1;737184;1;737093;1033;2696839356;10;5028262;8;3080631
105000;1;748620;1;747917;1125;2761372484;10;5080641;9;3151765
106000;0;749060;1;748982;1181;2811986246;11;5132323;8;3157522
107000;1;748561;1;747858;1176;2859701843;11;5185429;9;3141160
108000;1;746295;1;745434;1139;2918884382;10;5236901;7;3138932
109000;0;769876;1;768550;1179;2970021992;10;5288859;7;3393226
110000;1;743162;1;742421;1274;3017294562;11;5341261;8;3451542
111000;1;747697;1;746472;1285;3078335032;11;5393864;8;3260016
112000;1;737817;1;737517;1256;3136972099;11;5446223;8;3354209
113000;1;755930;1;755300;1306;3190518786;11;5497103;8;3229203
114000;0;745449;0;744321;1358;3241011009;11;5548949;8;3462729
115000;1;749240;1;749204;1363;3308644718;12;5601262;9;3373385
116000;0;748741;0;747516;1287;3357717233;11;5653249;8;3477740
117000;0;746228;1;743672;1445;3416352687;12;5706326;9;3574555
118000;0;746706;0;746210;1370;3483822794;11;5757682;8;3504793
119000;1;747400;1;746994;1486;3542937384;12;5809786;9;3655974
120000;1;754323;0;750920;1495;3600683533;12;5860898;9;3564186
121000;1;746228;1;745408;1540;3659660710;12;5913646;9;3931374
122000;1;750057;1;748461;1549;3715850262;13;5965457;9;3736003
123000;0;741024;0;739194;1556;3780047840;11;6017786;8;3685058
124000;1;760249;1;759753;1589;3848469222;11;6070135;9;3709083
125000;1;746021;1;744796;1629;3910147924;13;6120976;9;3749664
126000;1;754220;1;753517;1666;3975877061;12;6173393;12;3829997
127000;1;745672;1;745552;1702;4034214002;13;6224557;9;3827896
128000;1;756101;1;754561;1653;4091532169;12;6277200;9;3973931
129000;0;746438;1;746032;1657;4151386512;12;6328587;9;4058834
130000;1;741968;1;741758;1709;4227987371;13;6380079;10;3936399
131000;1;741633;1;741443;1787;4301874941;18;6432633;13;3877810
132000;1;742778;0;741008;1881;4353177073;19;6487471;13;4121671
133000;1;742084;1;739383;1981;4425626434;14;6543622;11;4270432
134000;1;748787;1;747302;1937;4495958515;14;6598800;11;4201136
135000;1;745847;1;744901;1952;4558381750;14;6654420;11;4301106
136000;1;757319;0;756884;1907;4617147756;12;6709372;10;4270963
137000;0;747687;0;746202;2040;4697542187;13;6764829;10;4301238
138000;1;745602;1;744972;1991;4763623287;14;6819695;11;4489283
139000;1;746030;1;745859;1952;4838288886;14;6875383;10;4351022
140000;1;750073;1;749695;2073;4894882239;14;6931119;11;4662441
141000;0;749904;1;747626;2036;4957776834;14;6985826;12;4453352
142000;1;756026;1;755123;2165;5051072610;15;7042571;11;4326934
143000;1;739803;1;739338;2140;5117064581;16;7096752;14;4798398
144000;1;750468;1;750192;2154;5181890129;15;7152337;11;4672811
145000;0;755166;0;755100;2147;5236279893;15;7207787;11;4524014
146000;1;743089;0;740008;2309;5324312872;13;7263269;11;4535231
147000;1;744631;1;743146;2253;5406091372;15;7318134;11;4804323
148000;1;751489;1;751111;2213;5479077720;15;7373389;11;4337167
149000;1;747113;1;747113;2298;5540053183;15;7428982;12;4773112
150000;1;745644;1;743229;2243;5629890914;14;7484104;11;4704752
151000;1;754041;1;749946;2384;5699278231;16;7539495;11;4940581
152000;1;757968;1;757737;2436;5761127732;17;7594643;12;4658235
153000;0;735282;1;733629;2301;5848666302;16;7649426;12;4807201
154000;1;750341;1;749963;2400;5929902493;16;7704572;12;4713228
155000;1;747337;1;747166;2551;6015133987;16;7760117;12;4889601
156000;1;751762;0;749617;2667;6093138222;16;7815143;12;4800167
157000;1;746531;1;745306;2596;6168872731;16;7870297;12;4854207
158000;1;757438;1;756310;2624;6246132193;16;7925473;12;5195365
